
=== Parasoft C/C++test - Code Coverage Report ===

* LC - Line Coverage
* DC - Decision (Branch) Coverage
* SCC - Simple Condition Coverage
* MCDC - Modified Condition Decision Coverage

> /home/demo-user/sandbox/demo-project/iceoryx_master/iceoryx_hoofs/buffer/include/iox/detail/stack.inl LC=96% 43/45   DC=89% 16/18   SCC=89% 16/18  MCDC=78% 7/9   
  iox::ScopeGuardWithVariableCapacity<(unsigned long)128> iox::ErrorHandlerMock::setTemporaryErrorHandler<T1>(const iox::storable_function<(unsigned long)128, void (T1, iox::ErrorLevel)> &)::[lambda() (instance 1)] LC=100% 3/3    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::ScopeGuardWithVariableCapacity<(unsigned long)128> iox::ErrorHandlerMock::setTemporaryErrorHandler<T1>(const iox::storable_function<(unsigned long)128, void (T1, iox::ErrorLevel)> &)::[lambda() (instance 2)] LC=100% 3/3    DC=N/A         SCC=N/A        MCDC=N/A       
  void iox::errorHandlerForTest<T1>(unsigned int, const char *, iox::ErrorLevel) LC=83% 5/6     DC=50% 1/2     SCC=50% 1/2    MCDC=0% 0/1    
  void iox::errorHandlerForTest<T1>(unsigned int, const char *, iox::ErrorLevel)::[lambda(iox::storable_function<(unsigned long)128, void (T1, iox::ErrorLevel)>) (instance 1)] LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       

> /home/demo-user/sandbox/demo-project/iceoryx_master/iceoryx_hoofs/testing/include/iceoryx_hoofs/testing/mocks/logger_mock.hpp LC=100% 10/10  DC=N/A         SCC=N/A        MCDC=N/A       

  iox::testing::Logger_Mock::createLogMessageHeader(const char *, int, const char *, iox::log::LogLevel) LC=100% 7/7    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::testing::Logger_Mock::flush() LC=100% 3/3    DC=N/A         SCC=N/A        MCDC=N/A       

> /home/demo-user/sandbox/demo-project/iceoryx_master/iceoryx_hoofs/testing/include/iceoryx_hoofs/testing/mocks/mocks.inl LC=100% 3/3    DC=N/A         SCC=N/A        MCDC=N/A       

  T1 mocks::assignSymbol<T1>(const std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>> &) LC=100% 3/3    DC=N/A         SCC=N/A        MCDC=N/A       

> /home/demo-user/sandbox/demo-project/iceoryx_master/iceoryx_hoofs/testing/include/iceoryx_hoofs/testing/mocks/time_mock.hpp LC=0% 0/10     DC=N/A         SCC=N/A        MCDC=N/A       

  time_MOCK::clock_getres(int, timespec *) LC=0% 0/1      DC=N/A         SCC=N/A        MCDC=N/A       
  time_MOCK::clock_gettime(int, timespec *) LC=0% 0/1      DC=N/A         SCC=N/A        MCDC=N/A       
  time_MOCK::clock_settime(int, const timespec *) LC=0% 0/1      DC=N/A         SCC=N/A        MCDC=N/A       
  time_MOCK::gmock_clock_getres(const testing::Matcher<int> &, const testing::Matcher<timespec *> &) LC=0% 0/1      DC=N/A         SCC=N/A        MCDC=N/A       
  time_MOCK::gmock_clock_getres(const testing::internal::WithoutMatchers &, testing::internal::Function<int (int, timespec *)> *) const LC=0% 0/1      DC=N/A         SCC=N/A        MCDC=N/A       
  time_MOCK::gmock_clock_gettime(const testing::Matcher<int> &, const testing::Matcher<timespec *> &) LC=0% 0/1      DC=N/A         SCC=N/A        MCDC=N/A       
  time_MOCK::gmock_clock_gettime(const testing::internal::WithoutMatchers &, testing::internal::Function<int (int, timespec *)> *) const LC=0% 0/1      DC=N/A         SCC=N/A        MCDC=N/A       
  time_MOCK::gmock_clock_settime(const testing::Matcher<int> &, const testing::Matcher<const timespec *> &) LC=0% 0/1      DC=N/A         SCC=N/A        MCDC=N/A       
  time_MOCK::gmock_clock_settime(const testing::internal::WithoutMatchers &, testing::internal::Function<int (int, const timespec *)> *) const LC=0% 0/1      DC=N/A         SCC=N/A        MCDC=N/A       
  time_MOCK::~time_MOCK()          LC=0% 0/1      DC=N/A         SCC=N/A        MCDC=N/A       

> /home/demo-user/sandbox/demo-project/iceoryx_master/iceoryx_hoofs/testing/mocks/time_mock.cpp LC=29% 2/7     DC=N/A         SCC=17% 1/6    MCDC=0% 0/3    

  clock_getres()                   LC=0% 0/1      DC=N/A         SCC=0% 0/2     MCDC=0% 0/1    
  clock_getres::[lambda() (instance 1)] LC=0% 0/1      DC=N/A         SCC=N/A        MCDC=N/A       
  clock_gettime()                  LC=100% 1/1    DC=N/A         SCC=50% 1/2    MCDC=0% 0/1    
  clock_gettime::[lambda() (instance 1)] LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  clock_settime()                  LC=0% 0/1      DC=N/A         SCC=0% 0/2     MCDC=0% 0/1    
  clock_settime::[lambda() (instance 1)] LC=0% 0/1      DC=N/A         SCC=N/A        MCDC=N/A       
  time_MOCK::time_MOCK()           LC=0% 0/1      DC=N/A         SCC=N/A        MCDC=N/A       

> /home/demo-user/sandbox/demo-project/iceoryx_master/iceoryx_hoofs/testing/testing_logger.cpp LC=51% 30/59   DC=24% 4/17    SCC=29% 4/14   MCDC=0% 0/7    

  iox::testing::LogPrinter::OnTestPartResult(const testing::TestPartResult &) LC=50% 1/2     DC=50% 1/2     SCC=50% 1/2    MCDC=0% 0/1    
  iox::testing::LogPrinter::OnTestStart(const testing::TestInfo &) LC=100% 10/10  DC=N/A         SCC=N/A        MCDC=N/A       
  iox::testing::LogPrinter::OnTestStart(const testing::TestInfo &)::[lambda() (instance 1)] LC=0% 0/3      DC=N/A         SCC=N/A        MCDC=N/A       
  iox::testing::TestingLogger::checkLogMessageIfLogLevelIsSupported(iox::log::LogLevel, const std::function<void (const std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>>, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>>>> &)> &) LC=100% 2/2    DC=50% 1/2     SCC=50% 1/2    MCDC=0% 0/1    
  iox::testing::TestingLogger::clearLogBuffer() LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::testing::TestingLogger::flush() LC=83% 5/6     DC=50% 1/2     SCC=50% 1/2    MCDC=0% 0/1    
  iox::testing::TestingLogger::getLogMessages[abi:cxx11]() LC=100% 2/2    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::testing::TestingLogger::getNumberOfLogMessages() LC=100% 2/2    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::testing::TestingLogger::init() LC=50% 7/14    DC=25% 1/4     SCC=17% 1/6    MCDC=0% 0/3    
  iox::testing::TestingLogger::printLogBuffer() LC=0% 0/7      DC=0% 0/4      SCC=0% 0/2     MCDC=0% 0/1    
  iox::testing::sigHandler(int, siginfo_t *, void *) LC=0% 0/10     DC=0% 0/3      SCC=N/A        MCDC=N/A       

> /home/demo-user/sandbox/demo-project/iceoryx_master/iceoryx_hoofs/testing/timing_test.cpp LC=92% 12/13   DC=83% 5/6     SCC=88% 7/8    MCDC=75% 3/4   

  iox::utils::testing::performingTimingTest(const std::function<void ()> &, unsigned long, std::atomic<bool> &) LC=83% 5/6     DC=75% 3/4     SCC=75% 3/4    MCDC=50% 1/2   
  iox::utils::testing::verifyTimingTestResult[abi:cxx11](const char *, int, const char *, bool, bool, std::atomic<bool> &) LC=100% 7/7    DC=100% 2/2    SCC=100% 4/4   MCDC=100% 2/2  

> /home/demo-user/sandbox/demo-project/iceoryx_master/iceoryx_hoofs/time/source/duration.cpp LC=100% 25/25  DC=100% 6/6    SCC=79% 11/14  MCDC=57% 4/7   

  iox::units::Duration::timespec(iox::units::TimeSpecReference) const LC=100% 21/21  DC=100% 6/6    SCC=79% 11/14  MCDC=57% 4/7   
  iox::units::operator <<(iox::log::LogStream &, iox::units::Duration) LC=100% 2/2    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::units::operator <<(std::ostream&, iox::units::Duration) LC=100% 2/2    DC=N/A         SCC=N/A        MCDC=N/A       

> /home/demo-user/sandbox/demo-project/iceoryx_master/iceoryx_hoofs/utility/source/unique_id.cpp LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       

  iox::UniqueId::UniqueId()        LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       

> /home/demo-user/sandbox/demo-project/iceoryx_master/iceoryx_hoofs/vocabulary/include/iox/detail/expected.inl LC=100% 45/45  DC=83% 5/6     SCC=83% 5/6    MCDC=67% 2/3   

  const std::enable_if<(!std::is_void<T1>::value), T1>::type & iox::expected<T1, T2>::operator *<T1>() const LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  const std::enable_if<(!std::is_void<T1>::value), T1>::type & iox::expected<T1, T2>::value<T1>() const & LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  const std::enable_if<(!std::is_void<T1>::value), T1>::type & iox::expected<T1, T2>::value_checked<T1>() const & LC=100% 2/2    DC=N/A         SCC=N/A        MCDC=N/A       
  const std::enable_if<(!std::is_void<T1>::value), T1>::type && iox::expected<T1, T2>::value<T1>() const && LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  const std::enable_if<(!std::is_void<T1>::value), T1>::type * iox::expected<T1, T2>::operator -><T1>() const LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::detail::err<T1> iox::err<T1, T2...>(T2 &&...) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::detail::err<T1> iox::err<T1, T2>(T1 &&) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::detail::err<T1> iox::err<T1>(const T1 &) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::detail::ok<T1> iox::ok<T1, T2, T3>(T1 &&) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::detail::ok<T1> iox::ok<T1, T2..., T3>(T2 &&...) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::detail::ok<T1> iox::ok<T1, T2>(const T1 &) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::detail::ok<void> iox::ok<T1, T2>() LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::expected<T1, T2>::error() & LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::expected<T1, T2>::error() && LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::expected<T1, T2>::error() const & LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::expected<T1, T2>::error() const && LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::expected<T1, T2>::error_checked() & LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::expected<T1, T2>::error_checked() const & LC=100% 2/2    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::expected<T1, T2>::expected(const iox::detail::err<T2> &) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::expected<T1, T2>::expected(const iox::detail::ok<T1> &) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::expected<T1, T2>::expected(iox::detail::err<T2> &&) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::expected<T1, T2>::expected(iox::detail::ok<T1> &&) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::expected<T1, T2>::expected(iox::expected<T1, T2>&&) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::expected<T1, T2>::expected<T1...>(iox::in_place_t, T1 &&...) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::expected<T1, T2>::expected<T1...>(iox::unexpect_t, T1 &&...) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::expected<T1, T2>::has_error() const LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::expected<T1, T2>::has_value() const LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::expected<T1, T2>::operator =(iox::expected<T1, T2>&&) LC=100% 3/3    DC=50% 1/2     SCC=50% 1/2    MCDC=0% 0/1    
  iox::expected<T1, T2>::operator bool() const LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::expected<T1, T2>::operator iox::expected<void, T2>() const LC=100% 3/3    DC=100% 2/2    SCC=100% 2/2   MCDC=100% 1/1  
  iox::optional<std::enable_if<(!std::is_void<T1>::value), T1>::type> iox::expected<T1, T2>::to_optional<T1>() const LC=100% 4/4    DC=100% 2/2    SCC=100% 2/2   MCDC=100% 1/1  
  std::enable_if<(!std::is_void<T1>::value), T1>::type & iox::expected<T1, T2>::operator *<T1>() LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  std::enable_if<(!std::is_void<T1>::value), T1>::type & iox::expected<T1, T2>::value<T1>() & LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  std::enable_if<(!std::is_void<T1>::value), T1>::type & iox::expected<T1, T2>::value_checked<T1>() & LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  std::enable_if<(!std::is_void<T1>::value), T1>::type && iox::expected<T1, T2>::value<T1>() && LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  std::enable_if<(!std::is_void<T1>::value), T1>::type * iox::expected<T1, T2>::operator -><T1>() LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       

> /home/demo-user/sandbox/demo-project/iceoryx_master/iceoryx_hoofs/vocabulary/include/iox/detail/expected_helper.hpp LC=100% 17/17  DC=N/A         SCC=N/A        MCDC=N/A       

  iox::detail::err<T1>::err(const T1 &) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::detail::err<T1>::err<T1, T2>(T1 &&) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::detail::err<T1>::err<T1...>(T1 &&...) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::detail::expected_storage<T1, T2>::error_unchecked() const LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::detail::expected_storage<T1, T2>::expected_storage<T1...>(iox::in_place_t, T1 &&...) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::detail::expected_storage<T1, T2>::expected_storage<T1...>(iox::unexpect_t, T1 &&...) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::detail::expected_storage<T1, T2>::has_error() const LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::detail::expected_storage<T1, T2>::has_value() const LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::detail::expected_storage<T1, T2>::value_unchecked() const LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::detail::expected_storage<void, T1>::error_unchecked() const LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::detail::expected_storage<void, T1>::expected_storage<T1...>(iox::in_place_t, T1 &&...) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::detail::expected_storage<void, T1>::expected_storage<T1...>(iox::unexpect_t, T1 &&...) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::detail::expected_storage<void, T1>::has_error() const LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::detail::expected_storage<void, T1>::has_value() const LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::detail::ok<T1>::ok(const T1 &) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::detail::ok<T1>::ok<T1, T2>(T1 &&) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::detail::ok<T1>::ok<T1...>(T1 &&...) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       

> /home/demo-user/sandbox/demo-project/iceoryx_master/iceoryx_hoofs/vocabulary/include/iox/detail/optional.inl LC=100% 69/69  DC=93% 28/30   SCC=90% 38/42  MCDC=81% 17/21 

  T1 & iox::optional<T1>::emplace<T1...>(T1 &&...) LC=100% 4/4    DC=100% 2/2    SCC=100% 2/2   MCDC=100% 1/1  
  bool iox::operator !=<T1>(const iox::optional<T1> &, const iox::optional<T1> &) LC=100% 4/4    DC=N/A         SCC=N/A        MCDC=N/A       
  bool iox::operator !=<T1>(const iox::optional<T1> &, iox::nullopt_t) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  bool iox::operator !=<T1>(iox::nullopt_t, const iox::optional<T1> &) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  bool iox::operator ==<T1>(const iox::optional<T1> &, const iox::optional<T1> &) LC=100% 3/3    DC=N/A         SCC=N/A        MCDC=N/A       
  bool iox::operator ==<T1>(const iox::optional<T1> &, iox::nullopt_t) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  bool iox::operator ==<T1>(iox::nullopt_t, const iox::optional<T1> &) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::optional<T1> iox::make_optional<T1, T2...>(T2 &&...) LC=100% 3/3    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::optional<T1>::destruct_value() LC=100% 2/2    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::optional<T1>::operator *()  LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::optional<T1>::operator *() const LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::optional<T1>::operator ->() LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::optional<T1>::operator ->() const LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::optional<T1>::operator =(const iox::optional<T1>&) LC=100% 9/9    DC=88% 7/8     SCC=86% 12/14  MCDC=71% 5/7   
  iox::optional<T1>::operator =(iox::optional<T1>&&) LC=100% 11/11  DC=90% 9/10    SCC=88% 14/16  MCDC=75% 6/8   
  iox::optional<T1>::optional()    LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::optional<T1>::optional(T1 &&) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::optional<T1>::optional(const T1 &) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::optional<T1>::optional(const iox::optional<T1>&) LC=100% 2/2    DC=100% 2/2    SCC=100% 2/2   MCDC=100% 1/1  
  iox::optional<T1>::optional(iox::nullopt_t) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::optional<T1>::optional(iox::optional<T1>&&) LC=100% 3/3    DC=100% 2/2    SCC=100% 2/2   MCDC=100% 1/1  
  iox::optional<T1>::optional<T1...>(iox::in_place_t, T1 &&...) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::optional<T1>::reset()       LC=100% 2/2    DC=100% 2/2    SCC=100% 2/2   MCDC=100% 1/1  
  iox::optional<T1>::value() &     LC=100% 2/2    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::optional<T1>::value() &&    LC=100% 2/2    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::optional<T1>::value() const & LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::optional<T1>::~optional()   LC=100% 2/2    DC=100% 2/2    SCC=100% 2/2   MCDC=100% 1/1  
  std::enable_if<(!std::is_same<T1, iox::optional<T1>&>::value), iox::optional<T1>>::type & iox::optional<T1>::operator =<T1>(T1 &&) LC=100% 4/4    DC=100% 2/2    SCC=100% 2/2   MCDC=100% 1/1  
  void iox::optional<T1>::construct_value<T1...>(T1 &&...) LC=100% 2/2    DC=N/A         SCC=N/A        MCDC=N/A       

> /home/demo-user/sandbox/demo-project/iceoryx_master/iceoryx_hoofs/vocabulary/include/iox/detail/semantic_string.inl LC=100% 35/35  DC=100% 12/12  SCC=70% 14/20  MCDC=40% 4/10  

  iox::SemanticString<T1, unsigned long, T3, T4>::SemanticString<unsigned long>(const iox::string<unsigned long> &) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::SemanticString<T1, unsigned long, T3, T4>::operator !=(const iox::SemanticString<T1, unsigned long, T3, T4>&) const LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::SemanticString<T1, unsigned long, T3, T4>::operator <(const iox::SemanticString<T1, unsigned long, T3, T4>&) const LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::SemanticString<T1, unsigned long, T3, T4>::operator <=(const iox::SemanticString<T1, unsigned long, T3, T4>&) const LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::SemanticString<T1, unsigned long, T3, T4>::operator ==(const iox::SemanticString<T1, unsigned long, T3, T4>&) const LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::SemanticString<T1, unsigned long, T3, T4>::operator >(const iox::SemanticString<T1, unsigned long, T3, T4>&) const LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::SemanticString<T1, unsigned long, T3, T4>::operator >=(const iox::SemanticString<T1, unsigned long, T3, T4>&) const LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::expected<T1, iox::SemanticStringError> iox::SemanticString<T1, unsigned long, T3, T4>::create<unsigned long>(const char (&)[T1]) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::expected<T1, iox::SemanticStringError> iox::SemanticString<T1, unsigned long, T3, T4>::create<unsigned long>(const iox::string<unsigned long> &) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::expected<T1, iox::SemanticStringError> iox::SemanticString<T1, unsigned long, T3, T4>::create_impl<unsigned long>(const char *) LC=100% 11/11  DC=100% 6/6    SCC=70% 7/10   MCDC=40% 2/5   
  iox::expected<void, iox::SemanticStringError> iox::SemanticString<T1, unsigned long, T3, T4>::append<T1>(const T1 &) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::expected<void, iox::SemanticStringError> iox::SemanticString<T1, unsigned long, T3, T4>::insert<T1>(unsigned long, const T1 &, unsigned long) LC=100% 12/12  DC=100% 6/6    SCC=70% 7/10   MCDC=40% 2/5   
  std::enable_if<((iox::is_iox_string<T1>::value||iox::is_char_array<T1>::value)||iox::is_custom_string<T1>::value), bool>::type iox::SemanticString<T1, unsigned long, T3, T4>::operator !=<T1>(const T1 &) const LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  std::enable_if<((iox::is_iox_string<T1>::value||iox::is_char_array<T1>::value)||iox::is_custom_string<T1>::value), bool>::type iox::SemanticString<T1, unsigned long, T3, T4>::operator ==<T1>(const T1 &) const LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       

> /home/demo-user/sandbox/demo-project/iceoryx_master/iceoryx_hoofs/vocabulary/include/iox/detail/string.inl LC=99% 182/183 DC=98% 57/58   SCC=89% 55/62  MCDC=77% 24/31 

  iox::log::LogStream & iox::operator <<<unsigned long>(iox::log::LogStream &, const iox::string<unsigned long> &) LC=100% 2/2    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::string<T1>::string(iox::TruncateToCapacity_t, const char *)::[lambda() (instance 1)] LC=100% 1/1    DC=N/A         SCC=100% 2/2   MCDC=100% 1/1  
  iox::string<unsigned long>& iox::string<unsigned long>::assign<unsigned long>(const char (&)[T1]) LC=100% 2/2    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::string<unsigned long>& iox::string<unsigned long>::assign<unsigned long>(const iox::string<unsigned long> &) LC=100% 3/3    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::string<unsigned long>& iox::string<unsigned long>::copy<unsigned long>(const iox::string<unsigned long> &) LC=100% 6/6    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::string<unsigned long>& iox::string<unsigned long>::move<unsigned long>(iox::string<unsigned long> &&) LC=100% 7/7    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::string<unsigned long>& iox::string<unsigned long>::operator =<unsigned long>(const char (&)[T1]) LC=89% 8/9     DC=75% 3/4     SCC=67% 4/6    MCDC=33% 1/3   
  iox::string<unsigned long>& iox::string<unsigned long>::operator =<unsigned long>(const iox::string<unsigned long> &) LC=100% 2/2    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::string<unsigned long>& iox::string<unsigned long>::operator =<unsigned long>(iox::string<unsigned long> &&) LC=100% 2/2    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::string<unsigned long>::append(iox::TruncateToCapacity_t, char) LC=100% 7/7    DC=100% 2/2    SCC=75% 3/4    MCDC=50% 1/2   
  iox::string<unsigned long>::c_str() const LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::string<unsigned long>::compare(char) const LC=100% 6/6    DC=100% 4/4    SCC=100% 6/6   MCDC=100% 3/3  
  iox::string<unsigned long>::operator =(const iox::string<unsigned long>&) LC=100% 3/3    DC=100% 2/2    SCC=100% 2/2   MCDC=100% 1/1  
  iox::string<unsigned long>::operator =(iox::string<unsigned long>&&) LC=100% 3/3    DC=100% 2/2    SCC=100% 2/2   MCDC=100% 1/1  
  iox::string<unsigned long>::string(const iox::string<unsigned long>&) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::string<unsigned long>::string(iox::TruncateToCapacity_t, const char *) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::string<unsigned long>::string(iox::TruncateToCapacity_t, const char *, unsigned long) LC=100% 10/10  DC=100% 4/4    SCC=83% 5/6    MCDC=67% 2/3   
  iox::string<unsigned long>::string(iox::string<unsigned long>&&) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::string<unsigned long>::string<unsigned long>(const char (&)[T1]) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::string<unsigned long>::string<unsigned long>(const iox::string<unsigned long> &) LC=100% 2/2    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::string<unsigned long>::string<unsigned long>(iox::string<unsigned long> &&) LC=100% 2/2    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::string<unsigned long>::substr(unsigned long) const LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::string<unsigned long>::substr(unsigned long, unsigned long) const LC=100% 8/8    DC=100% 2/2    SCC=100% 2/2   MCDC=100% 1/1  
  iox::string<unsigned long>::unsafe_assign(const char *) LC=100% 10/10  DC=100% 4/4    SCC=83% 5/6    MCDC=67% 2/3   
  std::enable_if<(((iox::is_char_array<T1>::value||iox::is_iox_string<T1>::value)||std::is_same<T1, char>::value)&&((iox::is_char_array<T2>::value||iox::is_iox_string<T2>::value)||std::is_same<T2, char>::value)), iox::string<iox::internal::SumCapa<T1, T2, T3...>::value>>::type iox::concatenate<T1, T2, T3...>(const T1 &, const T2 &, const T3 &...) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  std::enable_if<(((iox::is_char_array<T1>::value||iox::is_iox_string<T1>::value)||std::is_same<T1, char>::value)&&((iox::is_char_array<T2>::value||iox::is_iox_string<T2>::value)||std::is_same<T2, char>::value)), iox::string<iox::internal::SumCapa<T1, T2>::value>>::type iox::concatenate<T1, T2>(const T1 &, const T2 &) LC=100% 9/9    DC=N/A         SCC=N/A        MCDC=N/A       
  std::enable_if<(((iox::is_char_array<T1>::value||std::is_same<T1, char>::value)&&iox::is_iox_string<T2>::value)||(iox::is_iox_string<T1>::value&&((iox::is_char_array<T2>::value||std::is_same<T2, char>::value)||(iox::is_iox_string<T1>::value&&iox::is_iox_string<T2>::value)))), iox::string<iox::internal::SumCapa<T1, T2>::value>>::type iox::operator +<T1, T2>(const T1 &, const T2 &) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
